,Unnamed: 0,company_name,rate,city,state,remote_work,job_title,salary,salary_estimate,salary_avg,company_size,company_type,company_sector,company_founded,company_industry,descriptions_txt,descriptions_list,job_age,pros,cons
35,5,Swickard Shared Services (Las Vegas),4.0,Las Vegas,NV,False,"Data Science Specialist, Retail Strategy",$37K - $89K,Glassdoor,"$57,465 /yr (est.)",501 to 1000 Employees,Unknown / Non-Applicable,,Company - Private,,"['', 'At Swickard Auto Group, we’re passionate about our customers and using the most innovative, cutting-edge technology to revolutionize the way customers purchase and service their vehicles at our dealerships.', 'Our customers are the reason we’re here. Our culture is defined by a few core principles: We want to be our customers’ favorite place to purchase, lease, or service their vehicle, and we want to be your favorite place to work! We are a hospitality company that happens to be in the automotive industry. We are data-driven, and our aim is to use data to continuously improve the in-store and online guest experience with our dealerships.', 'Automotive News ranks Swickard Auto Group as one of the top dealer groups in the US. We are looking for like-minded team members that are laser focused on discovering insights in data to identify ways we can continue improving each interaction with our customers. Swickard’s unique perspective on automotive retail strategy is transforming the automotive industry and we are looking for top-notch individuals to join our fast-growing team.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",26d,"['""Great opportunity for growth, good management, minimal turnover."" (in 12 reviews)', '""boarding, friendly employees, many options"" (in 12 reviews)', '""Great hours &amp; great pay, and the other workers are not so bad, the time goes by really fast &amp; you are busy for most of your shift"" (in 6 reviews)', '""Culture is is open and friendly"" (in 7 reviews)']","['""Management was rude and tough on you"" (in 12 reviews)', '""During the orientation/onboarding we were shown videos telling us how much their employees meant to them, how family friendly they were, and that happy employees directly reflected that to customers."" (in 12 reviews)', '""Corporate couldn’t care less about you, set unrealistic goals and budgets and cut your pay if you don’t match the goals."" (in 6 reviews)', '""Benefits almost don’t exist."" (in 4 reviews)']"
36,6,M-Tech Systems USA,3.6,,,True,Data Science Engineer,$85K - $95K,Employer Provided Salary,"$90,000 /yr (est.)",51 to 200 Employees,Computer Hardware & Software,$10 to $25 million (USD),Company - Public,Information Technology,"['Data Science Engineer', 'M-Tech Systems is a stable, fast growing, and industry leading international software development company headquartered in the Dunwoody/400 - Perimeter Area of Atlanta. Retaining and recruiting outstanding team members is a mission-critical component of our ongoing success.', 'M-Tech Systems offers competitive salaries, excellent benefits, a working atmosphere that encourages collaboration, comfortable facilities, exceptional IT tools, training, and ongoing opportunities to work with senior and executive management.', 'Job Brief:', 'The Data Science Engineer’s role involves accumulating and deriving meaning from large datasets. The Data Science Engineer needs to be able to apply statistical and machine learning models, such as non-linear regressions, boosted decision trees and neural networks, to these large datasets to detect underlying trends that can drive value to our customers. The Data Science Engineer also needs to be able to coordinate with fellow engineers, product owners, and other stakeholders to apply the results of these analytics in a way that makes a positive impact to our customers.', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good people, benefits, and a fun place to work"" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
37,7,Asset Based Lending (ABL),4.5,Jersey City,NJ,False,Data Modeler (Hybrid),$75K - $110K,Employer Provided Salary,"$92,500 /yr (est.)",1 to 50 Employees,Unknown / Non-Applicable,,Company - Private,,"['This role is Hybrid***', 'At Asset Based Lending (ABL), we are striving to be the top hard money lenders in the nation. We understand that in order to exceed our goals we need inspired, talented, and driven leaders. This starts with you! If you would like to be a part of the most innovative hard money lenders in the business and have a passion for real estate, you have found the right place.', 'ABL is actively seeking a motivated and detail-oriented Data Modeler to join our rapidly expanding Accounting and Operations Team. This person will work directly with senior leadership to refine internal processes, develop data model analysis such as, seasonality payoff, draw timeline, commission profitability, etc. This includes but is not limited to the development of a CRM dashboard and cash flow projections.', 'Our NJ lending team is extremely customer centric and is experiencing tremendous growth. The ideal candidate will be driven to learn the real estate and lending business while staying curious, work to consistently elevate their standards, and be comfortable juggling competing priorities. If you have a tireless drive to succeed, and a need for learning while growing personal and organizational success, come join the ABL team!', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '']",11d,[],[]
38,8,"Continental Finance Company, LLC",4.1,Wilmington,DE,False,Data Scientist,$80K - $100K,Employer Provided Salary,"$90,000 /yr (est.)",51 to 200 Employees,Company - Private,Finance,2005,Lending,"['Come join a growing financial technology company that’s leading the marketplace in both the marketing and servicing of credit cards! Continental Finance Company specializes in credit card options for those consumers with less than perfect credit. We are seeking a Data Scientist to support our Data Science team.', ""The Data Scientist will be responsible for developing quantitative/analytic models and applications in support of the firm's risk underwriting and marketing effort. This role focuses on the development of models, strategies, and operational guidelines for the organization's various credit card products as they relate to the analysis, tracking, and reporting of various risk metrics. This role requires advanced degree in statistics/probability, physics, applied mathematics or another heavy quantitative discipline. Our Quantitative Analytic staff is focused on and responsible for the development of the theory and mathematics behind various models. This position reports to Chief Data Scientist."", '***CFC offers a hybrid work schedule which includes three (3) core days in the office (Tuesday, Wednesday, and Thursday) and two (2) remote workdays (Monday and Friday)***', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Many company perks and great holiday time off."" (in 1 reviews)']",['No Cons have been reported by the Glassdoor community.']
39,9,Consumerdirect,-1.0,Irvine,CA,False,Data Engineer,$90K - $170K,Employer Provided Salary,"$130,000 /yr (est.)",-1,,,,,"['***This position is for in-office candidates only, no remote candidates will be considered', 'ConsumerDirect, Inc is a SaaS company located in Irvine, CA comprised of fun and creative people building unique and patented technologies for the consumer money, credit & identity space. The company was founded in 2003 with the vision that technology should allow consumers to interact with their banks, creditors and other institutions using a simple button, and we’ve done just that.', 'We are building technology that is disrupting the industry and we’re growing very rapidly, so we are looking for a talented Data Engineer to join our team.', 'As a Data Engineer in our IT department at ConsumerDirect’s Irvine office, you will work in small teams to design and build and maintain innovative data and analytics solutions leveraging Amazon Web Services, cloud data warehouses like Snowflake, and other related technologies like Segment and MySQL. In addition to building the next generation of data platforms, you will be working with a forward-thinking organization in data and analytics.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",1d,[],[]
40,10,Kite Pharma,-1.0,Santa Monica,CA,False,"Data Science Associate II - $8,000* Sign On",,,-1,1001 to 5000 Employees,Company - Public,Biotech & Pharmaceuticals,2008,Biotech & Pharmaceuticals,"['', '', 'Everyone at Kite is grounded by one common goal – curing cancer. Every single day, we seek to establish a direct line between that purpose and our day-to-day work. Join us in our mission!', '', 'Kite is seeking a highly motivated, experienced, and resourceful Data Analyst to support the Global Quality Organization operating out of our headquarters in Santa Monica, CA. Kite Quality is responsible for adhering to regulatory requirements while improving existing processes, reducing waste, and lowering costs to safely improve patient access to our life-saving therapies.', '', 'In this role you will collect, measure, visualize and interpret data across multiple functions that include Quality, Supply Chain, Manufacturing and Process Development with the intent of turning data into information, information into insights and insights into informed business decisions.', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good pay, excellent benefits, 401k match is out of this world."" (in 9 reviews)', '""Good pay, stock, 401k, health benefits"" (in 3 reviews)', '""Group director is a pleasure to work with, listens to concerns, genuinely kind, with brilliant expertise."" (in 6 reviews)', '""Good company and colleagues to work with"" (in 5 reviews)']","['""2. Upper management is fully aware of this culture and does nothing to get rid of this mentality"" (in 7 reviews)']"
41,11,Indeed,4.3,,,True,"Director, Data Science- SMB Labs",$214K - $310K,Employer Provided Salary,"$262,000 /yr (est.)",10000+ Employees,Company - Private,Information Technology,2004,Internet,"['', 'We are seeking a Director of Data Science in the Small Medium Business (SMB) Labs group. In this role, you will lead teams of machine learning engineers, scientists, and statisticians who exhibit high energy, deep technical skills, and a drive to get things done. You will work with counterparts in the Product & Engineering organizations to set direction and ensure that these solutions have a measurable impact for clients. You will drive multiple critical work streams and drive the culture of scientific curiosity with guided autonomy.', 'The SMB Labs organization builds solutions and services that help Small and Medium Businesses get the most value when they post their jobs on Indeed.com. SMB Labs drives multiple critical tier 1 initiatives within the organization.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Good work/life balance"" (in 8 reviews)', '""amazing culture"" (in 8 reviews)', '""Pay is fair and clear, benefits are solid, and working hours are reasonable and clearly communicated."" (in 9 reviews)', '""Benefits are considerable"" (in 5 reviews)', '""Remuneration, Flexibility, Learning, Good colleagues"" (in 4 reviews)']","['""lower pay"" (in 9 reviews)']"
42,12,Oscar Health,-1.0,,,True,Operations Engineer II,$135K - $165K,Employer Provided Salary,"$150,000 /yr (est.)",1001 to 5000 Employees,Company - Public,Insurance,2012,Insurance Agencies & Brokerages,"[""Hi, we're Oscar. We're hiring an Operations Engineer to join our Insurance Operations team."", ""Oscar is the first health insurance company built around a full stack technology platform and a focus on serving our members. We started Oscar in 2012 to create the kind of health insurance company we would want for ourselves—one that behaves like a doctor in the family.\nAbout the role\nYou will design, develops/builds, tests and implement data and technical solutions with a focus on creating efficiency and scale through technology and automation of Oscar's infrastructure and underlying logic for core insurance functions. You will Understand Oscar's infrastructure, underlying logic, and data models, and works to work on requirements/rules that support our needs. You will Identify opportunities for technology enablement, apply technical expertise to design, and implementation of solutions to address operational challenges across the core insurance functions."", 'You will report to the Director. Insurance Operations.', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",13d,"['""There\'s also a big culture of writing out internal posts to share tech information to better the whole company."" (in 6 reviews)', '""Great people and team"" (in 8 reviews)', '""The pay is the best on the market especially considering they\'re about to IPO in 2021."" (in 6 reviews)', '""Work life balance is good"" (in 4 reviews)', '""Management is especially extremely easy to work with."" (in 5 reviews)']","['""Not an engineering first culture (right now...used to be more so)"" (in 6 reviews)', '""Pay is lower than industry average and it shows."" (in 6 reviews)', '""Very bad work life balance"" (in 4 reviews)', '""The employees (re: not management) will make you feel bad if you\'re unvaccinated (this might be a pro for some people)"" (in 5 reviews)']"
43,13,Liberty Mutual Insurance,3.8,,,True,"Analyst I/II, Data Science (remote)",$85K - $139K,Employer Provided Salary,"$112,000 /yr (est.)",10000+ Employees,Company - Private,Insurance,1912,Insurance Carriers,"['', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Flexibility and good work life balance"" (in 34 reviews)', '""good benefits"" (in 16 reviews)', '""2. Pay is good"" (in 15 reviews)', '""Flexible work environment, laid back culture, intelligent people at every turn."" (in 19 reviews)', '""care very much about employees"" (in 17 reviews)']","['""Not much if you like great work life balance"" (in 34 reviews)', '""Pay could be better for role"" (in 15 reviews)', '""Slow Political cronyism cafeteria bad culture"" (in 19 reviews)']"
44,14,SOS Trabajo,-1.0,San Juan,PR,False,Data Scientist,$70K - $80K,Employer Provided Salary,"$75,000 /yr (est.)",-1,,,,,"['General Description for Data Scientist:', 'Responsibilities:', '', '', '', '', '', '', '', '']","['We are looking for a developer data scientist to support in identifying, designing and implementing data science & artificial intelligence solutions.', 'The ideal candidate should have exceptional skills in programming machine learning models, as well as knowledge of data science, statistics, machine learning algorithms, and software engineering.', 'Assess machine learning development techniques & algorithms to incorporate into model development cycle', 'Use software engineering best practices for the full development life cycle of Machine Learning models, including coding standards, code reviews, version control management, testing, deployment, and monitoring', '', '', '', '', '', '', '', '', '', '', '']",28d,[],[]
45,15,Mayo Clinic,4.1,Waltham,MN,False,Senior Data Science Analyst - Center for Digital Health - Remote,,,-1,10000+ Employees,Health Care Services & Hospitals,$10+ billion (USD),Nonprofit Organization,Health Care,"['No\n\nInternational Assignment\nNo\n\nSite description\nMayo Clinic is located in the heart of downtown Rochester, Minnesota, a vibrant, friendly city that provides a highly livable environment for more than 34,000 Mayo staff and students. The city is consistently ranked among the best places to live in the United States because of its affordable cost of living, healthy lifestyle, excellent school systems and exceptionally high quality of life.\n\nRecruiter\nLaura Percival\n\n\nAs an Affirmative Action and Equal Opportunity Employer Mayo Clinic is committed to creating an inclusive environment that values the diversity of its employees and does not discriminate against any employee or candidate. Women, minorities, veterans, people from the LGBTQ communities and people with disabilities are strongly encouraged to apply to join our teams. Reasonable accommodations to access job openings or to apply for a job are available.']",[],30d+,"['""Good benefits and PTO."" (in 48 reviews)', '""Good pay"" (in 36 reviews)', '""The company is great for people who want to join the workforce and be paid well!"" (in 33 reviews)', '""Good leadership, collegial environment where people work together and not against each other."" (in 10 reviews)']","['""Benefits were aligned across MN, AZ, and FL resulting in an overall reduction in what were once excellent benefits."" (in 48 reviews)', '""Low pay compared to market."" (in 36 reviews)', '""people are rude, backstabbing, unfriendly, probably the most toxic bizarre workplace ever experienced"" (in 33 reviews)', '""Several opportunities made management desperate thus incompetent employees end up taking charge on all levels."" (in 16 reviews)', '""Research leadership does not care for the well being of junior scientists."" (in 10 reviews)']"
46,16,"O'Neil Global Advisors, Inc.",-1.0,Austin,TX,False,Data Scientist I - 637,,,-1,-1,,,,,"['This job is remote!', ""O'Neil Global Advisors (OGA) is an investment advisor that builds algorithmic strategies based on proprietary quantitative factor research pioneered by investing legend William J. O'Neil. Bill's methodology has achieved consistent success over more than five decades, and OGA's strategies provide our clients with an exclusive way to capture the success of his powerful and disciplined approached to investing.We develop strategies that are inspired by Bill's disciplined quantitative approach and incorporate his desire for constant improvement through ongoing backtesting."", '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",20d,[],[]
47,17,HP,4.2,San Diego,CA,False,Big Data Engineer,$75K - $142K,Glassdoor,"$103,171 /yr (est.)",10000+ Employees,Company - Public,Information Technology,1939,Computer Hardware & Software,"['DataOS is both an organization in Print Software and a big data platform. We are strategically aligned with the HP data strategy to enable and accelerate efficient delivery of business value from big data. Our platform provides the technology enablers, building blocks, operations, and data-as-a-service that power analytic insights across the Print business. We are the System of Record for Print product data, enable combining product and HP Business data, and are leading the evolution of big data technology.', '', 'We are looking for a Software Developer/Data Engineer to join our Big Data development team. If you are passionate about data and technology, we are eager to talk to you. The ideal candidate has both a willingness and desire to work in a dynamic environment, is able to apply Agile methodologies in day to day activities, and is a self-motivated developer who also enjoys working in a team environment. Our team is focused on establishing new cloud based data communication, archival, analysis, and reporting solutions for our consumer and commercial printing business units. Our people have a creative, innovative, fun, and collaborative attitude, and are dedicated to creating new and valuable solutions for HP.', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",5d,"['""Working hours are good to maintain a work life balance"" (in 166 reviews)', '""Was able to meet some nice people and build some connections"" (in 116 reviews)', '""Good salaries"" (in 154 reviews)', '""Good culture work in hp."" (in 125 reviews)', '""Great management"" (in 72 reviews)']","['""work life balance is not good"" (in 166 reviews)', '""People are friendly"" (in 116 reviews)', '""Low salary compared to other competitors"" (in 154 reviews)', '""corporate culture"" (in 125 reviews)', '""High management almost don\'t interact with employees"" (in 72 reviews)']"
48,18,Metropolitan Atlanta Rapid Transit Authority (MARTA),2.9,Atlanta,GA,False,Sr. Performance Analyst-Data Science,$61K - $76K,Employer Provided Salary,"$68,376 /yr (est.)",1001 to 5000 Employees,Transportation Management,$100 to $500 million (USD),Company - Private,Transportation & Logistics,"['Qualifications', '*EDUCATION and/or EXPERIENCE\n*', 'Bachelor’s degree in Business Administration, Data Science, Business Analytics, Mathematics or related field is required. A master’s degree or doctorate degree is highly desired. Six years of progressively responsible experience working in a statistically oriented research field, such as survey research, database analysis or actuarial research. Experience should include creating and optimizing business intelligence datasets and dashboards, quantitative analysis, operations, project management or related fields. Extensive knowledge and application of data analysis software (e.g. R. Stata), data visualization software (e.g. SQL, R, Python, etc.) and conducting advanced data analytics (e.g. Multivariate statistics, network and cluster analysis, forecasting, machine learning and pattern matching). Must be able to work independently and collectively as a team. Excellent written and verbal communication skills required. Experience working in a public or transit environment is desired. Directly related work experience may be substituted on a year-for-year basis in-lieu of educational requirement.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",16d,"['""Good atmosphere, responsive management, great vacation,"" (in 1 reviews)', '""Have a okay work/ life balance"" (in 1 reviews)']","['""time vacations, small insurance, professional development at your own expense"" (in 1 reviews)', '""Needs a better pay scale."" (in 1 reviews)']"
49,19,ProDigitalWorx,-1.0,Plano,TX,False,Sr. Data Scientist,$55 - $100 Per Hour,Employer Provided Salary,-1,-1,,,,,"['Lucrative assignment with a leading automotive organization.', 'Do YOU have a passion for working with Data? Do you love working in machine learning, real-time analytics, or Big Data? Interested in learning and utilizing different technologies without limitation? We are looking for a Data Expert that will help our clients evaluate and implement big data and advanced analytics solutions in the Cloud. We are passionate about data, problem solving and driving value to make a difference with our clients.', ""Evaluate and analyze the automotive marketplace to identify risks and opportunities for clients\nPresent team members and clients with analysis supporting decisions related to sales, pricing, and marketing strategy\nProactively assist in determining client needs and help develop new analytical solutions to satisfy those needs\nDevelop and implement statistical predictive models to help solve various big data problems\nDevelop and implement optimization models to address business-related challenges\nKnowledge in a variety of non-SQL big data open source products such as Spark, EMR/Hadoop etc.\nProgramming experience, ideally in Python, Scala, Java or R, but we are open to other experience if you're willing to learn the languages we use\nKnowledge of natural language processing is a plus\nAbility to operate in an agile, entrepreneurial start-up environment\nExcellent teamwork skills with an ability to reach out and use team strengths to get the work done with minimal supervision\nGood communication skills\nYou must be motivated, driven, and passionate about programming and technology"", '', '', '', '', '', '', '']","['', '', '', '']",24h,[],[]
50,20,The Home Depot,3.8,Atlanta,GA,False,"Data Scientist, Online (Remote)",$51K - $131K,Glassdoor,"$81,991 /yr (est.)",10000+ Employees,Company - Public,Retail,1978,Home Centers & Hardware Stores,[],"['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",24h,"['""Great culture and hours"" (in 33 reviews)', '""Great people and company culture."" (in 28 reviews)', '""benefits are good for full time employees"" (in 16 reviews)', '""Work life balance is good"" (in 20 reviews)', '""Good pay!"" (in 30 reviews)']","['""Honestly none, it really is a fantastic company with the best culture of any company I have personally worked for."" (in 33 reviews)', '""This place is full of extremely dull and intellectually incurious people."" (in 28 reviews)', '""Benefits are not good at all"" (in 16 reviews)', '""Work/life balance is not great"" (in 20 reviews)', '""tiring work and low pay"" (in 30 reviews)']"
51,21,Betacom,3.4,Bellevue,WA,False,Data Scientist,$92K - $149K,Glassdoor,"$117,335 /yr (est.)",201 to 500 Employees,Company - Private,Telecommunications,1991,Telecommunications Services,"['OVERVIEW:', 'Data Scientist of AIOps is responsible for building some of the foundational ML models that drive our business. We’re looking for a Data Scientist to delve into business processes and identify key drivers at each step of the journey.', '', '', '', '', '', '', '']","['Combine your knowledge of several mathematical and statistical domains to help inform decisions for Betacom’s business', 'Prepare, extract, manipulate and transform structured and unstructured data from many disparate data sources using Python, SQL, and other programmatic tools', 'Perform exploratory data analysis on complex data sets to gain a deeper understanding of Betacom’s API usage and developer journey', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Decent benefits."" (in 3 reviews)', '""They really care about employees."" (in 2 reviews)']","['""Poor communication from upper management to the point that every project breaks down and fails."" (in 3 reviews)', '""9 years of working your butt off gets you nothing but a paycut of $30k a year or laid off."" (in 3 reviews)', '""The pay is not that good and it is not competitive compare to other CMPM Roles"" (in 2 reviews)']"
52,22,Discover,3.9,Riverwoods,IL,False,Lead Data Science Analyst,$66K - $107K,Glassdoor,"$84,061 /yr (est.)",1001 to 5000 Employees,Company - Public,Finance,1985,Banks & Credit Unions,"['Discover. A brighter future.', ""With us, you’ll do meaningful work from Day 1. Our collaborative culture is built on three core behaviors: We Play to Win, We Get Better Every Day & We Succeed Together. And we mean it — we want you to grow and make a difference at one of the world's leading digital banking and payments companies. We value what makes you unique so that you have an opportunity to shine."", '', 'Come build your future, while being the reason millions of people find a brighter financial future with Discover.', '', 'At Discover, be part of a culture where diversity, teamwork and collaboration reign. Join a company that is just as employee-focused as it is on its customers and is consistently awarded for both. We’re all about people, and our employees are why Discover Be the reason we help millions of consumers build a brighter financial future and achieve yours along the way with a rewarding career.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '']",24h,"['""Good benefits and co workers but very frustrating calls and back to back some days"" (in 29 reviews)', '""work life balance is good"" (in 26 reviews)', '""2. Good pay"" (in 25 reviews)', '""Friendly culture where managers are supportive or at least appear to be."" (in 16 reviews)', '""People can be nice and good benefits"" (in 14 reviews)']","['""Potentially great work life balance,"" (in 26 reviews)', '""Pay is no competitive."" (in 25 reviews)', '""Hard to move up unless you get a really good manager that is willing to groom you."" (in 16 reviews)']"
53,23,Density Inc.,4.8,,,True,Data Scientist,,,-1,1 to 50 Employees,Company - Private,Information Technology,2014,Internet,"['At Density, we build one of the most advanced people sensing systems in the world. The product and infrastructure is nuanced and one-of-a-kind. Building this product for scale has been an exercise in patience, creativity, remarkable engineering, laser physics, global logistics, and grit. The team is thoughtful, driven, and world-class.\nWe build systems that are real-time, accurate, and anonymous by design. Our systems help today’s largest companies understand how their buildings get used. We have counted hundreds of millions of people.\nCounting people in “real-time” is unique and particularly hard to achieve. It allows a user to walk into a room, beneath our sensor, and see the room’s occupancy increment 700ms later.\nToday alone, Density will ingest over 1m events. In the coming year, our sensor network is on track to grow ten-fold. The overall system load is exploding. Maintaining our low latency standards requires an increasingly thoughtful system.\nWe’re architecting infrastructure where annual, unscheduled downtime is measured in minutes. We’re building intelligent redundancies so missed events are an oddity. We’re constructing an exceptional engineering team to support always-on, intelligible analytics generated on the fly.\nThis role reports to our Director of Data Science & Engineering.\nAs a at Density, you will work on algorithms developed for applications deployed on state-of-the-art remote devices as well as our cloud platform. The data you will work with includes ToF depth data, point clouds from radar, and device parameters. Algorithms include computer vision segmentation identification, 3D point cloud surface analysis, and optimization algorithms for sensor tuning. Join a team of experienced data scientists as we expand what is possible.', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""Great benefits and tools."" (in 8 reviews)', '""(Almost) everyone is really smart and cooperative."" (in 14 reviews)', '""Great culture to top it off!"" (in 9 reviews)', '""I would say they are very forward thinking in their management style."" (in 5 reviews)']","['""We can\'t acquire new technology on a whim or buy our way into any market we like."" (in 6 reviews)', '""This is not really a con, but the absence of a directive management style means that a lot of time is spent debating."" (in 5 reviews)']"
54,24,DecisionLogic,3.1,San Diego,CA,False,Data Engineer,$90K - $120K,Employer Provided Salary,"$105,000 /yr (est.)",1 to 50 Employees,Company - Private,Information Technology,2005,IT Services,"['Company Overview:', 'Headquartered in San Diego, DecisionLogic is a leading FinTech company providing a suite of integrated financial asset verification and credit scoring solutions across major financing verticals. In the last ten years, our SaaS platform has served more than fifty million consumers and over two thousand clients around the world. We are currently expanding into a wide variety of new markets with an aggressive growth plan that includes exciting new product development and feature releases. We are proud to offer the opportunity to join a dynamic team and company that is stable and growing.', 'Summary:', 'We are currently seeking a talented Senior Data Engineer for the San Diego Headquarters.', 'The candidate selected for this position will collaborate and support all departments across the company, from Product to Marketing, Technology to Support. They will work with existing and new technologies as we undergo a period of optimization of existing services, and design and build new solutions that rely on advanced database technologies, including machine learning.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",11d,"['""Care about employees"" (in 2 reviews)', '""I love being a part of this high tech, innovative company!"" (in 2 reviews)']","['""There are some growing pains, and we sometimes have to wear multiple hats, but everyone is always ready to help each other out."" (in 2 reviews)']"
55,25,Tealium,3.9,,,True,Manager of Data Science,$170K - $190K,Employer Provided Salary,"$180,000 /yr (est.)",501 to 1000 Employees,Company - Private,Information Technology,2008,Computer Hardware & Software,"['Manager, Data Science', 'WHO WE ARE:', 'Tealium is the leader in real-time unified marketing solutions, helping brands seamlessly integrate their siloed applications and data, and drive more profitable interactions across all digital touchpoints. Tealium’s open real-time Universal Data Hub (UDH) is a platform that enables digital marketers, data and analytics, and IT the ability to manage, govern, enrich, activate, and own their overarching corporate data strategy, reducing chaos and building better customer experiences.', 'Founded in 2008, Tealium is the most trusted vendor in its space and its award-winning solutions are used by 1000+ companies worldwide for their Customer Data Platform (CDP) and digital marketing needs.', 'WHAT WE ARE LOOKING FOR:', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",30d+,"['""· Most individual contributors are great people to work with."" (in 50 reviews)', '""Great culture, product and people"" (in 40 reviews)', '""Unlimited PTO and management is flexible."" (in 26 reviews)', '""Great benefits"" (in 18 reviews)', '""Great leadership."" (in 31 reviews)']","['""People are spread pretty thing."" (in 50 reviews)', '""Toxic culture"" (in 40 reviews)', '""Management (especially middle management) is either 1) a revolving door or 2)inexperienced people with no management training or ability to lead."" (in 26 reviews)', '""Benefits are kind of a joke."" (in 18 reviews)', '""Old boys club, leadership can be fraudulent."" (in 31 reviews)']"
56,26,Citi Trends,2.9,,,True,Director of Enterprise Data & Analytics,,,-1,5001 to 10000 Employees,Unknown / Non-Applicable,,Company - Private,,"['Company Overview', 'Citi Trends is a high growth, publically held retail brand with a fleet of 585 Stores across 33 States. We are the leading specialty value store for African American and Latinx Families with a rich history of catering to under resourced communities on a path to grow to $1 Billion in sales by 2023. We have delivered consistent positive comparable stores sales increases in fourteen of the last sixteen quarters. Our track record of delivering eight straight years of profitability coupled with no debt allows us to invest in people, systems and infrastructure to scale our business. We carry a world-class assortment of branded and private branded merchandise across apparel, accessories, footwear and home that is showcased in an inviting store environment staffed by friendly associates. The Citi Trends experience works in rural, suburban and urban communities with the potential to grow to 1,000 stores to serve our loyal and expanding customer base. Our long-range plan calls for more than 20% compounded annual growth in both operating income and EPS. We are actively building our team of diverse leaders in a culture filled with passion, collaboration, agility and customer obsession and will continue to uphold our longstanding commitment to diversity and inclusion.', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['', '', '', '', '', '']",29d,"['""The pay was decent and understandable based on how many hours you worked."" (in 32 reviews)', '""Great Management"" (in 24 reviews)', '""benefits, health, vision, and dental insurance"" (in 8 reviews)', '""Relaxed Atmosphere, Decent Flexible Hours"" (in 23 reviews)', '""The people I worked with were nice."" (in 24 reviews)']","['""Very low pay compared to what\'s available in the area"" (in 32 reviews)', '""Management sometimes is not good"" (in 24 reviews)', '""No benefits and no breaks"" (in 8 reviews)', '""It was fun working with the people"" (in 24 reviews)']"
